Company Name,Description,Address,Telephone Number,Fax Number,Telex Number,Website,Email Address,Category
Aequilibrium Science,"Aequilibrium scientific consulting services cover claim investigations, arbitration, pre-loading surveys, cargo contamination, chemicals, sampling & testing, metals failure, corrosion.","6/F.,
20 Grand Building,
Granville Circuit,
Tsim Sha Tsui,
Kowloon,
Hong Kong.",(852) 6171-6010,(852) 7183-2483,,http://www.aequilibriumscience.com,info@aequilibriumscience.com, Maritime Consultancy
Alatas Hong Kong Ltd.,"Deck-Cranes, Provision-Cranes, Monorails, Parts and Services, Hydraulic Workshop, Electronic Repairs, Loadtesting. Most makers including Tsuji, MacGregor, Liebherr, Kawasaki, MHI, NMF, TTS, WMMP etc.","2203,
Winning Centre,
29 Tai Yau Street,
San Po Kong,
Kowloon,
Hong Kong.",(852) 2153-2153 ,(852) 2153-2163 ,,http://www.alatas.com,hongkong@alatas.com.hk," Marine Suppliers (Equipment), Shipyards/Ship Repairers"
All Ports Agency Limited,"offers services covering port agency, protective agency, husbanding agency for dry-docking, bunkering, crew handling, stevedoring and project cargo in Asia.","Unit 2906, 
Trendy Centre, 
682 Castle Peak Road, 
Kowloon, 
Hong Kong.",(852) 2887-2471,(852) 2887-2203,,,hkg@allportsagency.com, Shipping Companies
Allied & Associated Enterprises (HK) Ltd,"Main products: reinforced plastic raw materials, such as polyester resin, glass fiber, pigment paste etc. Warehouse for general & dangerous goods.","G/F,
80 Tung Lo Wan Rd,
Hong Kong.",(852) 2577-4306,(852) 2577-5214,,http://www.alliedhk.com,info@alliedhk.com, Godowns & Warehouses
Amee & Co.,"Magnetic compass adjustment. Ship, yacht & small craft inspections. Cargo surveys. Load & stow surveys for yachts & project cargo.","1804 Dominion Centre,
43 Queen's Road East,
Wan Chai,
Hong Kong.",(852) 9061-1186,,,http://amarine.com.hk,mail@amarine.com.hk, Surveyors
American Bureau of Shipping,"Ship classification, plan review, appraisal & analysis, certification of standards, statutory certification, dynamic loading analysis, safehull design & evaluation, type approval. ","15/F,
Queen's Centre,
58-64 Queen's Rd E,
Wan Chai,
Hong Kong.",(852) 2527-8478,(852) 2861-3403,,http://www.eagle.org,abshongkong@eagle.org , Classification Societies
Anda Shipping Ltd.,Providing agency/transportation service including transhipment cargoes especially steel/project/machinery etc to mainland chinese ports also chartering/shipbrokering.,"Flat B, 12/F.,
Ying Yu Bldg.,
99-101 Lai Chi Kok Road,
Mongkok,
Kowloon,
Hong Kong.",(852) 2381-6566,(852) 2302-4661,(051) 94075242 ANDA G,,andaship@biznetvigator.com ," Local Shipping Agents, Ship Brokers, Shipping Companies"
Anderson Global Logistics Ltd.,Console /LCL/ FCL / Sea & Air / transportation / warehouse / FMCG/ 3PL/ P&P/ buyer own console / cargo survey and etc.,"Unit C1, 35/F,
TML Tower,
3 Hoi Shing Road,
Tsuen Wan,
New Territories,
Hong Kong.",(852) 3151-5400,(852) 3151-5402,,http://www.anderson-agl.com,enquiry@anderson-agl.com, Freight Forwarders/Logistics
Andrew Moore & Associates Ltd.,"[Maritime Consultancy] 
Marine and Scientific Consulting Services. Fire Investigations. Hull, machinery and cargo claims. Chemical Spills. Material/metallurgical failures. Lloyds Agents.
[Surveyors] 
Hull, Machinery, Cargo & Bunker Surveys. Warranty and towage surveys. Project Cargoes. ISM Audits.Pre-loading, and risk surveys.Lloyds Agents.","2703 Universal Trade Centre,
3 Arbuthnot Road,
Central, 
Hong Kong.",(852) 2861-3313,(852) 2865-6571,,http://andrew-moore.com,AMAHK@andrew-moore.com," Maritime Consultancy, Surveyors"
Anfari Shipbroking & Agency Limited,"Bunkering & Survey, Vessel Lay UP, Crew Manning, Stevedores, Break Bulks, Loading, Discharging, On, Off-Hire Survey, Issue B/L","Rm 8, Floor 5,
Thriving Industrial Centre,
No 26-38 Sha Tsui Road
Tsuen Wan,
Hong Kong. ",(852) 2851-3233,(852) 2851-2923,(056) 88818 Anfar N,,"anfari@anfari.com.hk
agency@anfari.com.hk", Local Shipping Agents
Anglo Eastern Ship Management Ltd.,"Ship management, ship operations, ship agency, insurance, manning technical services & new building consultancy.","23/F,
248 Queen's Road East,
Wan Chai,
Hong Kong. ",(852) 2863-6111 ,(852) 2861-2419,75478,http://www.angloeasterngroup.com,aesm.hkg@angloeasterngroup.com, Ship Management
Anglo-Eastern Yacht Services Ltd.,"Specialized in management, operations, insurance, manning and technical services for Superyachts.","23/F,
248 Queen's Road East,
Wan Chai,
Hong Kong. ",(852) 2863-6111 ,(852) 2861-2419,,http://www.aeyachtservices.com,enquiries@aeyachtservices.com, Ship Management
Anphi Shipping Co Ltd,"Act as ship operator/cargo broker/ship agent, handling vessels/cargo from 2,000 MT - 50,000 MT size.","Flat A 7/F.,
Fui Nam Bldg.,
48-51 Connaught Road West,
Hong Kong.",(852) 2548-0821,(852) 2517-0839 ,,,anphi@netvigator.com, Ship Brokers
Aon Hong Kong Limited,Leading provider of diversified global and local insurance broking and consulting services. Professional and experienced team provides specialized yacht insurances.,"28 Floor, 
Tower 1,
Times Square,
1 Matheson Street,
Causeway Bay,
Hong Kong.",(852) 2862-4241,(852) 2243-8861,,http://www.aon.com,tommy.ho@aon.com, Maritime Insurance 
Argos China Limited,"Worldwide bunker suppliers, specialist in Hong Kong, Fareast and ARA.","Rm 801, Tai Yau Bldg.,
181 Johnston Road,
Wan Chai,
Hong Kong.",(852) 2529-3122,(852) 2527-3318,,http://www.argosenergies.com,bunker@argosenergies.hk, Bunkers
Argosy Shipping (Far East) Limited ,"Argosy shipping (Far East) Limited provides Ship Sale, Dry Cargo Chartering broking services to international ship Owners, Charterers and Maritime Investors.","Rm. 1001-1003,
118 Connaught Road West, 
Sai Ying Poon,
Hong Kong.","(852) 2541-6555
","(852) 2541-0263
",,http://www.argosy.com.hk,"argosy@argosy.com.hk
Argosy-hmax-smax@argosy.com.hk

", Ship Brokers
Asia Boating Limited,"Pleasure vessel sales and brokerage, new and used boats.","1 floor,
Annex Bldg,
Aberdeen Marina Club,
8 Shum Wan Road,
Aberdeen,
Hong Kong.",(852) 2572-9212,(852) 2572-6033,,http://www.asia-boating.com,info@asia-boating.com, Others
Asia Container Terminals Ltd.,"ACT is a JV among HPH Trust, COSCO Pacific and China Shipping Terminal. It is located at Terminal 8 West.","Container Terminal 8 West,
Container Port Road South,
Kwai Chung,
New Territories,
Hong Kong. ",(852) 2991-8888,(852) 2485-3320,,http://www.asiacontainerterminals.com,act-hotline@act.com.hk, Container Terminals
Asia Maritime,"Publisher of shipping news, intelligence and features both hard copy and online.","8A Greenfield Court,
Discovery Bay,
Hong Kong. ",(852) 2987-8870,(852) 2987-7780 ,,http://www.thisisasiamaritime.com,mike.grinter@thisisasiamaritime.com, Shipping Publications
Asia Pacific (Marine) Services Ltd.,"Marine and cargo surveys. Vanning/devanning, preshipment inspections. Draft, bunkers, on-hire/off-hire and damage surveys. Yacht and small craft surveys. Safety and security audits.","Rm. 702,
Bupa Centre,
141, Connaught Road West,
Hong Kong.",(852) 2803-0399,(852) 2857-6692,,,asiapacmar@sinatown.com, Surveyors
Asia Union Survey Services Limited,"Services to logistics industries in the Hong Kong SAR and China. Marine & air cargo surveying. Vauning & devanning reports, pre shipment inspections, measuring & weighing. ","Room 1108,
Modern Terminals Warehouse Bldg. Phase 1,
Berth One,
Kwai Chung,
New Territories,
Hong Kong. ",(852) 2716-5133 ,(852) 2765-8287,,,karrieho@asiaunion.com.hk , Surveyors
Asia Yacht Management Co. Ltd,"Superyacht Management, Crew Recruitment, Port Agent","Unit B, 15/F,
Regency Centre Phase I,
39 Wong Chuk Hang Rd,
Aberdeen,
Hong Kong. ",(852) 2965-9777,(852) 2965-9111,,http://www.aymhk.com,info@aymhk.com, Ship Management
Asian World Marine Supply Company Limited,Supplying general Ship stores/ Provisions/ Boned Stores,"Flat C-D, 8/F, 
Kwong Ga Factory Building, 
64 Victoria Road,
Kennedy Town,
Hong Kong.",(852) 2872-0981,(852) 2817-8997 ,,,asworld@biznetvigator.com, Marine Suppliers (General Stores)
"Avantec Logistics (HK) Co., Ltd.",We specialized in import consolidations and US import consulting services,"Unit 1710,
New Tech Plaza,
San Po Kong, 
Kowloon,
Hong Kong.",(852) 3426-3446,(852) 3753-3446,,http://www.avanteclogistics.com,kohenry@avanteclogistics.com, Freight Forwarders/Logistics
AXA Corporate Solutions Assurance,"Specialty Marine insurance company, providing Cargo (bulk, STP, heavy lift...), Hull (Commercial vessels, Superyachts) and Risk Management solutions.","1204-05, 
Berkshire House,
25 Westlands Road,
Quarry Bay,
Hong Kong.",(852) 2161-0000,(852) 2866-4688,,http://www.axa-corporatesolutions.com,hongkong@axa-cs.com, Maritime Insurance 
Axon Consultancy Limited,"Marine Traffic Impact Assessment, License Application, Navigational Assessments for Environmental Statements, Navigational Risk Assessment using the FSA process","Unit 503, 5/F, 
Tower 2,
Lippo Centre, 
Admiralty,
Hong Kong.",(852) 2258-6392,(852) 3020-0321,,http://marine.axonhk.com,info@axonhk.com, Maritime Consultancy
Bahamas Maritime Authority,"Ship Registration, Technical consultation Services, Seafarer Documentation Issuance are available in our Hong Kong office.","2019/2020, 20th Floor,
Hutchison House,
10 Harcourt Road,
Central, 
Hong Kong.",(852) 2522-0095,(852) 2522-0094,,http://www.bahamasmaritime.com,hongkong@bahamasmaritime.com, Shipping Registries
"Baosen Suntop Logistics Co., Ltd.","Shipping agent, freight forwarder located in China main ports and Hong Kong, offering sea freight, air freight service for more than 10 years.","Unit 1205, 12/F,
Sino Plaza,
255 Gloucester Road,
Causeway Bay, 
Hong Kong .",(852) 2668-8618,(852) 2665-5711,,http://www.baosencn.cn,eric@baosencn.cn, Freight Forwarders/Logistics
BAP Bunker,Professional supplier of fuel oil and physical fuel trader and exporter. Operates mainly in East-Asian and Russian ports.,"93-107 Lockhart Road,
Beverly House,
8/F, Room 804
Hong Kong.",(852) 6626-6512,,,http://www.bapbunker.com/en/,office@bapbunker.com, Bunkers
Barthel Valves Asia Ltd.,On site supply of valves and fittings acc. to DIN and JIS standard. Class approved shipbuilding valves available ex stock.,"Unit 701,
The Workstation,
43 Lyndhurst Terrace, 
Central,
Hong Kong.",+ 49 176 219 49 241,+49 40 39 82 02 - 77,,http://www.barthel-valves-asia.com,niemann@barthel-valves-asia.com, Marine Suppliers (Equipment)
Baybridge Services (Far East) Ltd.,"Supply, install and repair of Navigation and Communication equipment. Competitive Airtime rates - Ship to Shore and Shore to Ship.","22nd Floor,
Hing Lung Commercial Building,
68-74 Bonham Strand, 
Sheung Wan,
Hong Kong.",(852) 3691-8820,(852) 3006-1487,,http://www.baybridge.hk,"Service@baybridge.hk.com
noel@baybridge.hk.com", Marine Suppliers (Equipment)
BEL International Logistics Limited,"Provides airfreight, seafreight, logistics and warehousing services with branch offices in China, Taiwan and Vietnam.","Flat A, 8/F, 
Mita Centre,
552-566 Castle Peak Road,
Kwai Chung,
New Territories,
Hong Kong. ",(852) 2796-0118 ,(852) 2799-9227,,http://www.bel-intl.com,info@bel-intl.com , Freight Forwarders/Logistics
Belize Bureau of Shipping Services Hong Kong,"Deputy Registrar of Belize Registry in Hong Kong. Ships registration, formation of offshore companies, radio accounting authority, ships survey, crew endorsement certificates.","Office A, 3/F,
Eton Building,
288 Des Voeux Road C.,
Hong Kong.",(852) 2543-8848 ,(852) 2815-3275 ,,,shipreg@pg02.com," Maritime Consultancy, Shipping Registries"
Ben Line Agencies (HK) Ltd,"[Freight Forwarders/Logistics] 
Part of the Ben Line Agencies network in Asia, providing ship/liner/tramper/offshore agency services and specialised project logistics management.
[Local Shipping Agents] 
Part of the Ben Line Agencies network in Asia, providing ship/liner/tramper/offshore agency services and specialised project logistics management.
[Shipping Companies] 
Agents for X-Press Feeders, PDZ, New Pacific Line, RORO Line, Kestrel Liner Agencies, Port of Houston Authority","15th Floor,
Tung Wai Commercial Building,
111 Gloucester Road, 
Wan Chai,
Hong Kong.",(852) 2893-4307,(852) 2893-4377,(051) 94075273 BENL G,http://www.benlineagencies.com,mngt@benline.com.hk," Freight Forwarders/Logistics, Local Shipping Agents, Shipping Companies"
Bernhard Schulte Shipmanagement (Hong Kong) Limited Partnerhsip,"An Integrated Maritime Services Company, Providing Full Technical, Crew, And Commercial Management Services.","2602,
K. Wah Centre,
191 Java Road,
North Point,
Hong Kong.",(852) 2561-8838,(852) 2561-8803,,http://www.bs-shipmanagement.com,hk-smc-man@bs-shipmanagement.com, Ship Management
"Billboard (International) Co., Ltd.","FPSO/FSO & offshore mooring equipment: BBI-embedment UHC anchor, emergency towing system, mooring winch, windlass, chain-jack etc. Product with class certification.","Room 1106,
Entrepot Centre,
117 How Ming Street,
Kwun Tong,
Hong Kong.",(852) 2797-3972,(852) 2304-7011,,http://www.billboard.com.hk,info@bbeng.com, Marine Suppliers (Equipment)
BMS United Bunkers (HK) Limited,Our core expertise lies in providing quality bunkering services worldwide as well as shipping agency and/or supply of lubricants. ,"Suite 1628, 16/F,
Ocean Centre,
Harbour City,
Tsim Sha Tsui,
Kowloon,
Hong Kong. ",(852) 2506-1388 ,(852) 2506-1988 ,,http://bmsunited.com,hongkong@bmsunited.com, Bunkers
BMT Asia Pacific Limited,"Independent consultancy providing specialist economic, environmental, risk and marine services supporting planning, design and operation of projects throughout Asia Pacific.","5/F.,
FWD Financial Centre,
308 Des Voeux Road Central,
Hong Kong. ",(852) 2815-2221,(852) 2815-3377,,http://www.bmtasiapacific.com/,hongkong@bmtasiapacific.com , Maritime Consultancy
Bogerd Martin Marine (HK) Ltd,Serving marines since 1911. Supply nautical charts and publications in paper and digital,"2501B, Ever Gain Plaza,
Tower 2,
88 Container Port Road, 
Kwai Chung,
Hong Kong.",(852) 3565-4410,(852) 3565-4414,,http://www.martin.be,sales@martinhk.com.hk," Marine Suppliers (General Stores), Marine Suppliers (Equipment)"
Bomin Bunker Oil Ltd,Supplies international standard - ISO marine bunker fuel in Hong Kong and worldwide ports. ,"Room 1503, 15/F, 
Bank of East Asia,
Harbour View Centre, 
56 Gloucester Road,
Wan Chai,
Hong Kong.",(852) 2891-7799,(852) 2893-1636,,,bunkers@bomin.hk, Bunkers
Braemar Technical Services Pte. Ltd.  (incorporating The Salvage Association),"Hull & machinery surveys, warranty & pre-risk surveys, risk assessments, expert investigatory work.","Room 1203, 
Austin Plaza,
83 Austin Road,
Kowloon,
Hong Kong.",(852) 2525-3619,(852) 2810-6229,,http://www.braemarsa.com/,hong.kong@braemar.com, Surveyors
Branscombe Marine Consultants Ltd.,Salvage and towage and general marine consultancy. Accident investigation and expert reports.,"Flat 3B, 
113 Broadway,
Mei Foo Sun Chuen,
Lai Chi Kok,
Kowloon,
Hong Kong.",(852) 9089-1600,,,http://www.branscombe-marine.com,branscombe@netvigator.com, Maritime Consultancy
Bravo Marine Limited,Specialist provider of all round shipping agency services with over 20 years experience in the industry.,"21/F.,
Des Voeux Commercial Centre,
212-214 Des Voeux Road,
Central,
Hong Kong.",(852) 2854-4118,(852) 2850-4217,(051) 94078112 BRAV G,,"agency@bravoholding.com
bravomar@hkstar.com", Local Shipping Agents
Brenda Chark & Co.,A boutique law firm focuses on maritime and international trade law.,"9E & F, 
CNT Tower,
338 Hennessy Road,
Wan Chai,
Hong Kong.",(852) 3590-5620,(852) 3020-4875,,,brenda@brendachark.com, Maritime Law Firms
Brookes Bell Hong Kong,We provide a full range of marine and scientific consulting services.  Advice. Evaluations and Claims Handling. Investigations. Surveys. Arbitrations.,"Brookes Bell House,
13 Pak Kong Au Village,
Sai Kung, 
New Territories, 
Hong Kong.",(852) 2358-4794 ,(852) 2358-4795,,http://www.brookesbell.com,hongkong@brookesbell.com, Maritime Consultancy
Bunker Express Company Ltd.,"As the Marine Gas Oil(MGO) and Ultra Low Sulphur(LSGO) supplier, we provide (MGO) and (LSGO) delivery within Hong Kong region.","9/F., 
Parkview House,
120 Aberdeen Main Road,
Aberdeen,
Hong Kong.",(852) 3527-3496,(852) 2518-8529,,http://www.bunkerexpress.com/,hkbunker@bunkerexpress.com, Bunkers
C Solutions (Hong Kong) Limited,C Solutions are Legal and Claims Consultants specialising in marine and insurance claims related matters of all types.,"1906 The Broadway,
54-62 Lockhart Road,
Wan Chai,
Hong Kong.",(852) 2331-8817,(852) 3020-0151,,http://www.csolutionslimited.com,info@csolutionslimited.com, Maritime Consultancy
C.H. Robinson Worldwide (HK) Ltd.,Provides full air and ocean freight forwarding and other logistics services including warehousing to a global customer base. ,"Room 1208, 
Tower 1,
Ever Gain Plaza,
88 Container Port Road,
Kwai Chung, 
New Territories,
Hong Kong",(852) 3113-4268,(852) 3113-4266 ,,http://www.chrobinson.com,kelvin.chan@chrobinson.com, Freight Forwarders/Logistics
C.L. Logistics Services Ltd,Provide Warehousing and Transportation service. Flow Thru and Local Distribution Center.,"Room 21-23, 2/F., 
Block. A,
Hi-Tech Ind. Center,
5-21 Pak Tin Par St.,
Tsuen Wan,
New Territories,
Hong Kong. ",(852) 2415-1611,(852) 2492-0205 ,,http://www.cllogistics.com,info@cllogistics.com, Godowns & Warehouses
C.M.I. Development Company Limited,"Supply of Germany's Aqua Signal Recreational and Commercial Navigation Lamps, Lights, Search Lights to yachts, ships, merchant marines.","Room 1305-6, 13/F,
Boss Commercial Centre,
28 Ferry Street,
Jordan, 
Kowloon, 
Hong Kong.",(852) 2780-7165 ,(852) 2385-7768,,http://www.laycongroup.com,cmi@laycongroup.com, Marine Suppliers (General Stores)
CAESAR (HK) Limited,"CAESAR provides quality logistics services to worldwide destinations especially to China no matter seafreight, airfreight & land transport.","Unit 9B, 7/F,
TCL Tower,
No. 8 Tai Chung Road,
Tsuen Wan, N.T., 
Hong Kong.",(852) 3709-9513,(852) 3709-9514,,,info@caesar.com.hk, Freight Forwarders/Logistics
Candimar Limited,Port agency service in China & HK; Transit/ bunkering/ crew/ spares/ CTM handling. Cargo operation for LPG/ oil/ chemical tanker etc.,"Room 1505, 
Trade Center,
135 Bonham Strand,
Sheung Wan,
Hong Kong.",(852) 2545-6377,(852) 2854-2409,,,candimar@candimar.net, Local Shipping Agents
Cargo Inspection & Consultant Limited,"Preshipment quality inspection, container quantity loading supervision, damage loss adjuster,sampling and test, weight controlling. ","4/F,
Lee Chau Commercial Bldg,
11 Hart Avenue,
Kowloon,
Hong Kong. ",(852) 2721-0696 ,(852) 2311-6054 ,,,cichk@cargoinspection.com.hk," Maritime Consultancy, Surveyors"
Cargo-partner Logistics Limited,"Air cargo, sea cargo, ocean NVOCC, transportation services , customs brokerage, warehousing , project management.","Unit 1201-1210, 12/F.,
Trade Square,
681 Cheung Sha Wan Road.,
Kowloon,
Hong Kong.",(852) 2833-5000,(852) 2833-5020,,http://www.cargo-partner.com,hkhkg@cargo-partner.com, Freight Forwarders/Logistics
Cargotec Asia Limited,"Cargotec's brands, Hiab, Kalmar and MacGregor, provide cargo handling solutions include on-road load handling equipment, container handling equipment for ports, etc.","2/F,
Yoo Hoo Tower,
38-42 Kwai Fung Crescent,
Kwai Chung,
Hong Kong.",(852) 2944-8383,(852) 2944-9966,,http://www.cargotec.com,kalmarasia.info@cargotec.com, Marine Suppliers (Equipment)
"Carmichael & Clarke Co, Ltd","Professional expert marine, engineering, casualty, towage, cargo surveyors, consultants, RPE, licensed gas testers, certified compass adjusters, claims settling, etc. ","17th. Floor,
Jade Centre,
98 Wellington Street,
Central,
Hong Kong.",(852) 2581-2678,(852) 2581-2722,,http://www.carmichaelandclarke.com,carmi@hkstar.com," Maritime Consultancy, Surveyors, Others"
Central Maritime Ltd.,Shipping Agent. ,"22/F,
Donimion Centre,
43-59 Queen's Rd East,
Hong Kong.",(852) 2876-0608,(852) 2876-0665,73636 CENMA HX,,cenmari@pacificgroup.com.hk , Shipping Companies
Central Oceans Asia Ltd.,Central Oceans specializes in the transport services of capital equipment for Steel Logistics - Construction Equipment Logistics - Project Logistics - Agency and Chartering,"Unit A&B, 15/F, 
Chinaweal Centre,
No.414-424 Jaffe Road,
Wan Chai,
Hong Kong.",(852) 2892-9200,(852) 2573-6171,,http://www.centraloceans.com,hongkong@centraloceans.com," Freight Forwarders/Logistics, Local Shipping Agents, Ship Brokers"
Central Oceans Line Ltd.,Central Oceans Line offers a service for your general cargo and project shipping from Europe to the Far East and Southeast Asia.,"Unit A&B, 15/F, 
Chinaweal Centre,
No.414-424 Jaffe Road,
Wan Chai,
Hong Kong.",(852) 2892-9200,(852) 2573-6171,,,hongkong@centraloceansline.com, Shipping Companies
CGW Logistics Co. Ltd.,"Ship's agent, management, forwarding business and cargo broker.","1203, 
Tung Ning Bldg.,
2 Hillier St.,
Sheung Wan,
Hong Kong. ",(852) 2151-9151,(852) 2151-9171,33634 CGWTL HX,,cgwlhk@netvigator.com , Shipping Companies
Chase Superwin Ltd.,"South Asian Provisions Rice, Atta, Dals, Paneer, AmulCheese, Ghee, Spices, Sugar, Salt, Indian Biscuits and Snacks, Teas, Cooking Oils etc.","503 Wing On Plaza,
62 Mody Road,
TST-East,
Kowloon,
Hong Kong.",(852) 6341-5765,(852) 2721-9464,,http://www.chaselimited.com,foods@chaselimited.com, Marine Suppliers (General Stores)
Chellaram Shipping (Hong Kong) Ltd.,"Full commercial, technical and crewing services using the latest information technology.","1801,
Dina House,
11 Duddell Street,
Central,
Hong Kong.",(852) 2973-6111,(852) 2971-1400,,http://www.chellship.com,mail@chellship.com , Ship Management
Cheoy Lee Shipyards Ltd,"Provides shipbuilding and shiprepairing services; can build commercial vessels in steel and aluminium, pleasure craft and GRP workboats. ","89 & 91 Hing Wah Street West,
Lai Chi Kok,
Kowloon,
Hong Kong.",(852) 2307-6333,(852) 2307-5577,,http://www.cheoylee.com,info@cheoylee.com, Shipyards/Ship Repairers
"Chimbusco Pan Nation Petro-Chemical Co., Ltd.",Hong Kong arm of the largest supplier in China - Chimbusco.  Local physical supplier specializing in cargo and worldwide bunker trading.,"9/F.
Luk Kwok Centre,
72 Gloucester Road,
Wan Chai,
Hong Kong. ",(852) 2851-0832,(852) 2850-5801,,http://www.chim-pn.com,bunker@chim-pn.com, Bunkers
China Classification Society,"Survey, product survey & IMS survey.","Rm 2904-5,
Shun Tak Centre,
West Tower,
200 Connaught Rd Central,
Hong Kong.",(852) 2547-6181,(852) 2858-2629,,http://www.ccs.org.cn,ccshk@ccs.org.cn, Surveyors
"China CTTIC HK Co., Ltd.","Satellite communication services, phones and equipment.  BeiDou navigation terminals and systems.  Ship tracking system.","Room 2304, 
Singga Comm Centre,
144-151 Connaught Road West, 
Hong Kong. ",(852) 2541-1100 ,(852) 2541-1100 ,,http://www.cttic.hk,brian.tsui@cttic.hk, Maritime Telecommunications
"China LNG Shipping (International) Co., Ltd.",Ship management of Chinese LNG carriers.,"Unit Nos. 01-02, Level 31, 
Millennium City 6,
392 Kwun Tong Road, 
Kwun Tong, 
Kowloon,
Hong Kong. ",(852) 2902-1500 ,(852) 2902-1501 ,77987 CLSIC HX,http://www.clsico.com,, Ship Management
China Resources Insurance Consultants Ltd.,"Provide risk management & insurance services including marine cargo, hull, P&I and war insurance etc.","37/F,
China Resources Building,
26 Harbour Road,
Wanchai,
Hong Kong","(852) 2593-9103
",(852) 2827-4262,,http://www.cr-ins.com,tsuichitwing@crc.com.hk, Maritime Insurance 
China Rich Shipping Co. Ltd.,"Port agent HK/China, transit in/out Shekou, bunkering, crew change & husbandry matters, drydock in HK/China. Hand-over/Delivery & lightering HK.","Unit 1, 23/F,
Wing Tuck Comm. Centre,
177-183 Wing Lok Street,
Sheung Wan,
Hong Kong","(852) 2851-6621
(852) 2155-0320",(852) 2851-6625,"94074779 CRSL G
77936 CRICH HX",http://www.chinarichshpg.com,crs@chinarichshpg.com, Local Shipping Agents
China Shipping (HK) Co. Ltd.,"Port Agent HK/China, Transit, Bunkering, Crew change, CTM, drydock in HK, Ship stores supply, Tanker operation.","32/F,
Tower 2,
Kowloon Commerce Centre,
51 Kwai Cheong Road,
Kwai Chung,
New Territories,
Hong Kong.","(852) 2858-1727
",(852) 2858-0277,,http://www.cn-shipping.net,shiphk@cn-shipping.net, Local Shipping Agents
