Company Name,Address,District Number,Telephone Number,Fax Number,Website,Email Address,Category
ALL PORTS AGENCY LIMITED,"TRENDY CENTRE, 
682 CASTLE PEAK ROAD, 
KOWLOON, 
HONG KONG.",852,2887-2471,2887-2203,,hkg@allportsagency.com, SHIPPING COMPANIES
ALLIED & ASSOCIATED ENTERPRISES (HK) LTD,"80 TUNG LO WAN RD,
HONG KONG.",852,2577-4306,2577-5214,http://www.alliedhk.com,info@alliedhk.com, GODOWNS & WAREHOUSES
AMEE & CO.,"DOMINION CENTRE,43 QUEEN'S ROAD EAST,WAN CHAI,HONG KONG.",852,9061-1186,null,http://amarine.com.hk,mail@amarine.com.hk, SURVEYORS
AMERICAN BUREAU OF SHIPPING,"QUEEN'S CENTRE,
58-64 QUEEN'S RD E,
WAN CHAI,
HONG KONG.",852,2527-8478,2861-3403,http://www.eagle.org,abshongkong@eagle.org , CLASSIFICATION SOCIETIES
ANDA SHIPPING LTD.,"YING YU BLDG.,
99-101 LAI CHI KOK ROAD,
MONGKOK,
KOWLOON,
HONG KONG.",852,2381-6566,2302-4661,,andaship@biznetvigator.com , LOCAL SHIPPING AGENTS
ANDERSON GLOBAL LOGISTICS LTD.,"TML TOWER,
3 HOI SHING ROAD,
TSUEN WAN,
NEW TERRITORIES,
HONG KONG.",852,3151-5400,3151-5402,http://www.anderson-agl.com,enquiry@anderson-agl.com, FREIGHT FORWARDERS/LOGISTICS
ANDREW MOORE & ASSOCIATES LTD.,"UNIVERSAL TRADE CENTRE,
3 ARBUTHNOT ROAD,
CENTRAL, 
HONG KONG.",852,2861-3313,2865-6571,http://andrew-moore.com,AMAHK@andrew-moore.com, MARITIME CONSULTANCY
ANFARI SHIPBROKING & AGENCY LIMITED,"THRIVING INDUSTRIAL CENTRE,
NO 26-38 SHA TSUI ROAD
TSUEN WAN,
HONG KONG. ",852,2851-3233,2851-2923,,"anfari@anfari.com.hk
agency@anfari.com.hk", LOCAL SHIPPING AGENTS
ANGLO EASTERN SHIP MANAGEMENT LTD.,"248 QUEEN'S ROAD EAST,
WAN CHAI,
HONG KONG. ",852,2863-6111,2861-2419,http://www.angloeasterngroup.com,aesm.hkg@angloeasterngroup.com, SHIP MANAGEMENT
ANGLO-EASTERN YACHT SERVICES LTD.,"248 QUEEN'S ROAD EAST,
WAN CHAI,
HONG KONG. ",852,2863-6111,2861-2419,http://www.aeyachtservices.com,enquiries@aeyachtservices.com, SHIP MANAGEMENT
ANPHI SHIPPING CO LTD,"FUI NAM BLDG.,
48-51 CONNAUGHT ROAD WEST,
HONG KONG.",852,2548-0821,2517-0839,,anphi@netvigator.com, SHIP BROKERS
AON HONG KONG LIMITED,"TIMES SQUARE,
1 MATHESON STREET,
CAUSEWAY BAY,
HONG KONG.",852,2862-4241,2243-8861,http://www.aon.com,tommy.ho@aon.com, MARITIME INSURANCE 
ARGOS CHINA LIMITED,"TAI YAU BLDG.,
181 JOHNSTON ROAD,
WAN CHAI,
HONG KONG.",852,2529-3122,2527-3318,http://www.argosenergies.com,bunker@argosenergies.hk, BUNKERS
ARGOSY SHIPPING (FAR EAST) LIMITED ,"CONNAUGHT ROAD WEST, SAI YING POON,HONG KONG.",852,"2541-6555
","2541-0263
",http://www.argosy.com.hk,"argosy@argosy.com.hk
Argosy-hmax-smax@argosy.com.hk

", SHIP BROKERS
ASIA BOATING LIMITED,"ANNEX BLDG,
ABERDEEN MARINA CLUB,
8 SHUM WAN ROAD,
ABERDEEN,
HONG KONG.",852,2572-9212,2572-6033,http://www.asia-boating.com,info@asia-boating.com, OTHERS
ASIA CONTAINER TERMINALS LTD.,"CONTAINER TERMINAL 8 WEST,
CONTAINER PORT ROAD SOUTH,
KWAI CHUNG,
NEW TERRITORIES,
HONG KONG. ",852,2991-8888,2485-3320,http://www.asiacontainerterminals.com,act-hotline@act.com.hk, CONTAINER TERMINALS
ASIA MARITIME,"8A GREENFIELD COURT,
DISCOVERY BAY,
HONG KONG. ",852,2987-8870,2987-7780,http://www.thisisasiamaritime.com,mike.grinter@thisisasiamaritime.com, SHIPPING PUBLICATIONS
ASIA PACIFIC (MARINE) SERVICES LTD.,"BUPA CENTRE,
141, CONNAUGHT ROAD WEST,
HONG KONG.",852,2803-0399,2857-6692,,asiapacmar@sinatown.com, SURVEYORS
ASIA UNION SURVEY SERVICES LIMITED,"MODERN TERMINALS WAREHOUSE BLDG. PHASE 1,
BERTH ONE,
KWAI CHUNG,
NEW TERRITORIES,
HONG KONG. ",852,2716-5133,2765-8287,,karrieho@asiaunion.com.hk , SURVEYORS
ASIA YACHT MANAGEMENT CO. LTD,"REGENCY CENTRE PHASE I,
39 WONG CHUK HANG RD,
ABERDEEN,
HONG KONG. ",852,2965-9777,2965-9111,http://www.aymhk.com,info@aymhk.com, SHIP MANAGEMENT
ASIAN WORLD MARINE SUPPLY COMPANY LIMITED,"KWONG GA FACTORY BUILDING, 64 VICTORIA ROAD,KENNEDY TOWN,HONG KONG",852,2872-0981,2817-8997,,asworld@biznetvigator.com, MARINE SUPPLIERS (EQUIPMENT)
"AVANTEC LOGISTICS (HK) CO., LTD.","UNIT 1710,
NEW TECH PLAZA,
SAN PO KONG, 
KOWLOON,
HONG KONG.",852,3426-3446,3753-3446,http://www.avanteclogistics.com,kohenry@avanteclogistics.com, FREIGHT FORWARDERS/LOGISTICS
AXA CORPORATE SOLUTIONS ASSURANCE,"BERKSHIRE HOUSE,
25 WESTLANDS ROAD,
QUARRY BAY,
HONG KONG.",852,2161-0000,2866-4688,http://www.axa-corporatesolutions.com,hongkong@axa-cs.com, MARITIME INSURANCE 
AXON CONSULTANCY LIMITED,"LIPPO CENTRE, 
ADMIRALTY,
HONG KONG.",852,2258-6392,3020-0321,http://marine.axonhk.com,info@axonhk.com, MARITIME CONSULTANCY
BAHAMAS MARITIME AUTHORITY,"HUTCHISON HOUSE,
10 HARCOURT ROAD,
CENTRAL,
HONG KONG.",852,2522-0095,2522-0094,http://www.bahamasmaritime.com,hongkong@bahamasmaritime.com, SHIPPING REGISTRIES
"BAOSEN SUNTOP LOGISTICS CO., LTD.","SINO PLAZA,
255 GLOUCESTER ROAD,
CAUSEWAY BAY, 
HONG KONG .",852,2668-8618,2665-5711,http://www.baosencn.cn,eric@baosencn.cn, FREIGHT FORWARDERS/LOGISTICS
BAP BUNKER,"BEVERLY HOUSE,
8/F, ROOM 804
HONG KONG.",852,6626-6512,null,http://www.bapbunker.com/en/,office@bapbunker.com, BUNKERS
BARTHEL VALVES ASIA LTD.,"THE WORKSTATION,
43 LYNDHURST TERRACE, 
CENTRAL,
HONG KONG.",852,49,40,http://www.barthel-valves-asia.com,niemann@barthel-valves-asia.com, MARINE SUPPLIERS (EQUIPMENT)
BAYBRIDGE SERVICES (FAR EAST) LTD.,"HING LUNG COMMERCIAL BUILDING,
68-74 BONHAM STRAND, 
SHEUNG WAN,
HONG KONG.",852,3691-8820,3006-1487,http://www.baybridge.hk,"Service@baybridge.hk.com
noel@baybridge.hk.com", MARINE SUPPLIERS (EQUIPMENT)
BEL INTERNATIONAL LOGISTICS LIMITED,"MITA CENTRE,
552-566 CASTLE PEAK ROAD,
KWAI CHUNG,
NEW TERRITORIES,
HONG KONG. ",852,2796-0118,2799-9227,http://www.bel-intl.com,info@bel-intl.com , FREIGHT FORWARDERS/LOGISTICS
BELIZE BUREAU OF SHIPPING SERVICES HONG KONG,"ETON BUILDING,
288 DES VOEUX ROAD C.,
HONG KONG.",852,2543-8848,2815-3275,,shipreg@pg02.com, MARITIME CONSULTANCY
BEN LINE AGENCIES (HK) LTD,"TUNG WAI COMMERCIAL BUILD,
109-111 GLOUCESTER ROAD,
WAN CHAI,
HONG KONG.",852,2893-4307,2893-4377,http://www.benlineagencies.com,mngt@benline.com.hk, FREIGHT FORWARDERS/LOGISTICS
BERNHARD SCHULTE SHIPMANAGEMENT (HONG KONG) LIMITED PARTNERHSIP,"K WAH CENTRE,191 JAVA ROAD,NORTH POINT,HONG KONG.",852,2561-8838,2561-8803,http://www.bs-shipmanagement.com,hk-smc-man@bs-shipmanagement.com, SHIP MANAGEMENT
"BILLBOARD (INTERNATIONAL) CO., LTD.","ENTREPOT CENTRE,
117 HOW MING STREET,
KWUN TONG,
HONG KONG.",852,2797-3972,2304-7011,http://www.billboard.com.hk,info@bbeng.com, MARINE SUPPLIERS (EQUIPMENT)
BMS UNITED BUNKERS (HK) LIMITED,"OCEAN CENTRE,
HARBOUR CITY,
TSIM SHA TSUI,
KOWLOON,
HONG KONG. ",852,2506-1388,2506-1988,http://bmsunited.com,hongkong@bmsunited.com, BUNKERS
BMT ASIA PACIFIC LIMITED,"FWD FINANCIAL CENTER,
308 DES VOEUX ROAD CENTRAL,
SHEUNG WAN,
HONG KONG.",852,2815-2221,2815-3377,http://www.bmtasiapacific.com/,hongkong@bmtasiapacific.com , MARITIME CONSULTANCY
BOGERD MARTIN MARINE (HK) LTD,"EVER GAIN PLAZA,
88 CONTAINER PORT ROAD,
KWAI CHUNG, 
NEW TERRITORIES,
HONG KONG",852,3565-4410,3565-4414,http://www.martin.be,sales@martinhk.com.hk, MARINE SUPPLIERS (EQUIPMENT)
BOMIN BUNKER OIL LTD,"BANK OF EAST ASIA,
HARBOUR VIEW CENTRE, 
56 GLOUCESTER ROAD,
WAN CHAI,
HONG KONG.",852,2891-7799,2893-1636,,bunkers@bomin.hk, BUNKERS
BRAEMAR TECHNICAL SERVICES PTE. LTD.  (INCORPORATING THE SALVAGE ASSOCIATION),"AUSTIN PLAZA,
83 AUSTIN ROAD,
KOWLOON,
HONG KONG.",852,2525-3619,2810-6229,http://www.braemarsa.com/,hong.kong@braemar.com, SURVEYORS
BRANSCOMBE MARINE CONSULTANTS LTD.,"113 BROADWAY,
MEI FOO SUN CHUEN,
LAI CHI KOK,
KOWLOON,
HONG KONG.",852,9089-1600,null,http://www.branscombe-marine.com,branscombe@netvigator.com, MARITIME CONSULTANCY
BRAVO MARINE LIMITED,"DES VOEUX COMMERCIAL CENTRE,
212-214 DES VOEUX ROAD,
CENTRAL,
HONG KONG.",852,2854-4118,2850-4217,,"agency@bravoholding.com
bravomar@hkstar.com", LOCAL SHIPPING AGENTS
BRENDA CHARK & CO.,"CNT TOWER,
338 HENNESSY ROAD,
WAN CHAI,
HONG KONG.",852,3590-5620,3020-4875,,brenda@brendachark.com, MARITIME LAW FIRMS
BROOKES BELL HONG KONG,"BROOKES BELL HOUSE,
13 PAK KONG AU VILLAGE,
SAI KUNG, 
NEW TERRITORIES, 
HONG KONG.",852,2358-4794,2358-4795,http://www.brookesbell.com,hongkong@brookesbell.com, MARITIME CONSULTANCY
BUNKER EXPRESS COMPANY LTD.,"PARKVIEW HOUSE,
120 ABERDEEN MAIN ROAD,
ABERDEEN,
HONG KONG.",852,3527-3496,2518-8529,http://www.bunkerexpress.com/,hkbunker@bunkerexpress.com, BUNKERS
C SOLUTIONS (HONG KONG) LIMITED,"THE BROADWAY,54-62 LOCKHART ROAD,WAN CHAI,HONG KONG.",852,2331-8817,3020-0151,http://www.csolutionslimited.com,info@csolutionslimited.com, MARITIME CONSULTANCY
C.H. ROBINSON WORLDWIDE (HK) LTD.,"EVER GAIN PLAZA,
88 CONTAINER PORT ROAD,
KWAI CHUNG, 
NEW TERRITORIES,
HONG KONG",852,3113-4268,3113-4266,http://www.chrobinson.com,kelvin.chan@chrobinson.com, FREIGHT FORWARDERS/LOGISTICS
C.L. LOGISTICS SERVICES LTD,"HI-TECH IND. CENTER,
5-21 PAK TIN PAR ST.,
TSUEN WAN,
NEW TERRITORIES,
HONG KONG. ",852,2415-1611,2492-0205,http://www.cllogistics.com,info@cllogistics.com, GODOWNS & WAREHOUSES
C.M.I. DEVELOPMENT COMPANY LIMITED,"BOSS COMMERCIAL CENTRE,
28 FERRY STREET,
JORDAN, 
KOWLOON, 
HONG KONG.",852,2780-7165,2385-7768,http://www.laycongroup.com,cmi@laycongroup.com, MARINE SUPPLIERS (EQUIPMENT)
CAESAR (HK) LIMITED,"TCL TOWER,
NO. 8 TAI CHUNG ROAD,
TSUEN WAN, N.T., 
HONG KONG.",852,3709-9513,3709-9514,,info@caesar.com.hk, FREIGHT FORWARDERS/LOGISTICS
CANDIMAR LIMITED,"ROOM 1505, 
TRADE CENTER,
135 BONHAM STRAND,
SHEUNG WAN,
HONG KONG.",852,2545-6377,2854-2409,,candimar@candimar.net, LOCAL SHIPPING AGENTS
CARGO INSPECTION & CONSULTANT LIMITED,"LEE CHAU COMMERCIAL BLDG,
11 HART AVENUE,
KOWLOON,
HONG KONG. ",852,2721-0696,2311-6054,,cichk@cargoinspection.com.hk, MARITIME CONSULTANCY
CARGO-PARTNER LOGISTICS LIMITED,"TRADE SQUARE,
681 CHEUNG SHA WAN ROAD.,
KOWLOON,
HONG KONG.",852,2833-5000,2833-5020,http://www.cargo-partner.com,hkhkg@cargo-partner.com, FREIGHT FORWARDERS/LOGISTICS
CARGOTEC ASIA LIMITED,"YOO HOO TOWER,
38-42 KWAI FUNG CRESCENT,
KWAI CHUNG,
HONG KONG.",852,2944-8383,2944-9966,http://www.cargotec.com,kalmarasia.info@cargotec.com, MARINE SUPPLIERS (EQUIPMENT)
"CARMICHAEL & CLARKE CO, LTD","JADE CENTRE,
98 WELLINGTON STREET,
CENTRAL,
HONG KONG.",852,2581-2678,2581-2722,http://www.carmichaelandclarke.com,carmi@hkstar.com, MARITIME CONSULTANCY
CENTRAL MARITIME LTD.,"DOMINION CENTRE,43 QUEEN'S ROAD EAST,WAN CHAI,HONG KONG.",852,2876-0608,2876-0665,,cenmari@pacificgroup.com.hk , SHIPPING COMPANIES
CENTRAL OCEANS ASIA LTD.,"CHINAWEAL CENTRE,
NO.414-424 JAFFE ROAD,
WAN CHAI,
HONG KONG.",852,2892-9200,2573-6171,http://www.centraloceans.com,hongkong@centraloceans.com, FREIGHT FORWARDERS/LOGISTICS
CENTRAL OCEANS LINE LTD.,"CHINAWEAL CENTRE,
NO.414-424 JAFFE ROAD,
WAN CHAI,
HONG KONG.",852,2892-9200,2573-6171,,hongkong@centraloceansline.com, SHIPPING COMPANIES
CGW LOGISTICS CO. LTD.,"TUNG NING BLDG.,
2 HILLIER ST.,
SHEUNG WAN,
HONG KONG. ",852,2151-9151,2151-9171,,cgwlhk@netvigator.com , SHIPPING COMPANIES
CHASE SUPERWIN LTD.,"WING ON PLAZA,
62 MODY ROAD,
TST-EAST,
KOWLOON,
HONG KONG.",852,6341-5765,2721-9464,http://www.chaselimited.com,foods@chaselimited.com, MARINE SUPPLIERS (EQUIPMENT)
CHELLARAM SHIPPING (HONG KONG) LTD.,"DINA HOUSE,
11 DUDDELL STREET,
CENTRAL,
HONG KONG.",852,2973-6111,2971-1400,http://www.chellship.com,mail@chellship.com , SHIP MANAGEMENT
CHEOY LEE SHIPYARDS LTD,"HING WAH STREET WEST,
LAI CHI KOK,
KOWLOON,
HONG KONG.",852,2307-6333,2307-5577,http://www.cheoylee.com,info@cheoylee.com, SHIPYARDS/SHIP REPAIRERS
"CHIMBUSCO PAN NATION PETRO-CHEMICAL CO., LTD.","LUK KWOK CENTRE,
72 GLOUCESTER ROAD,
WAN CHAI,
HONG KONG. ",852,2851-0832,2850-5801,http://www.chim-pn.com,bunker@chim-pn.com, BUNKERS
CHINA CLASSIFICATION SOCIETY,"SHUN TAK CENTRE,168-200 CONNAUGHT ROAD, CENTRAL,HONG KONG.",852,2547-6181,2858-2629,http://www.ccs.org.cn,ccshk@ccs.org.cn, SURVEYORS
"CHINA CTTIC HK CO., LTD.","SINGGA COM. CENTRE,
148 CONNAUGHT ROAD W.,
SAI YING PUN,
HONG KONG.",852,2541-1100,2541-1100,http://www.cttic.hk,brian.tsui@cttic.hk, MARITIME TELECOMMUNICATIONS
"CHINA LNG SHIPPING (INTERNATIONAL) CO., LTD.","MILLENNIUM CITY 6,
392 KWUN TONG ROAD, 
KWUN TONG, 
KOWLOON,
HONG KONG. ",852,2902-1500,2902-1501,http://www.clsico.com,null, SHIP MANAGEMENT
CHINA RESOURCES INSURANCE CONSULTANTS LTD.,"CHINA RESOURCES BUILDING,
26 HARBOUR ROAD,
WANCHAI,
HONG KONG",852,"2593-9103
",2827-4262,http://www.cr-ins.com,tsuichitwing@crc.com.hk, MARITIME INSURANCE 
CHINA RICH SHIPPING CO. LTD.,"WING TUCK COMM. CENTRE,
177-183 WING LOK STREET,
SHEUNG WAN,
HONG KONG",852,"2851-6621
(852)",2851-6625,http://www.chinarichshpg.com,crs@chinarichshpg.com, LOCAL SHIPPING AGENTS
CHINA SHIPPING (HK) CO. LTD.,"KOWLOON COMMERCE CENTRE,
51 KWAI CHEONG ROAD,
KWAI CHUNG,
NEW TERRITORIES,
HONG KONG.",852,"2858-1727
",2858-0277,http://www.cn-shipping.net,shiphk@cn-shipping.net, LOCAL SHIPPING AGENTS
CHINA TRAVEL (CARGO) LOGISTICS CENTRE LIMITED,"NO. 1 CHEONG TUNG ROAD,
HUNGHOM,
KOWLOON,
HONG KONG. ",852,2534-9299,2334-9235,,luna@hkcts.com , FREIGHT FORWARDERS/LOGISTICS
CHINA WHEEL SHIPPING (HOLDINGS) LIMITED,"SHIU FUNG HONG BUILDING,239-241 WING LOK STREET,SHEUNG WAN,HONG KONG. ",852,2332-5051,2332-7715,http://www.cws.com.hk,info@cws.com.hk, FREIGHT FORWARDERS/LOGISTICS
CHUANG XIN (CHINA) GROUP LIMITED,"SINO PLAZA,
255 GLOUCESTER ROAD,
CAUSEWAY BAY, 
HONG KONG .",852,2887-1301,2887-1871,http://www.chuangxinhk.com,enquiry@chuangxinhk.com, BUNKERS
CHUGOKU MARINE PAINTS (HK) LTD,"ISLAND PLACE TOWER,
510 KING'S ROAD,
NORTH POINT,
HONG KONG.",852,2576-6376,2576-3607,http://www.cmp.co.jp/en/,"harold@cmp-hk.com.hk
awong@cmp-hk.com.hk", PAINTS & COATINGS
CHUN MING CO,"KWUN LUNG LAU,
20 LUNG WAH ST.,
KENNEDY TOWN,
HONG KONG.",852,2406-8482,2560-0423,,chunming@yahoo.com, LOCAL SHIPPING AGENTS
CHUNG HING TUG CO,"RICE MERCHANTS BLDG,
77-8 CONNAUGHT RD W,
HONG KONG.",852,"2549-2072
(852)",2546-2406,,null, TOWAGE & SALVAGE
CITE LIMITED,"YAN'S TOWER,
25-27 WONG CHUK HANG RD,
ABERDEEN,
HONG KONG.",852,2552-0178,2873-0679,http://www.cite.com.hk,cite@cite.com.hk , MARINE SUPPLIERS (EQUIPMENT)
CL CONSOLIDATORS SERVICES LTD,"29 AUSTIN ROAD,
TSIM SHA TSUI,
KOWLOON,
HONG KONG.",852,2311-8836,2721-6079,http://www.cl-consolidators.com,clhkg@cl-consolidators.com, FREIGHT FORWARDERS/LOGISTICS
CLARKSON ASIA LIMITED,"SUN HUNG KAI CENTRE,
30 HARBOUR ROAD,
WAN CHAI,
HONG KONG.",852,2866-3111,2866-3068,http://www.clarksons.com,clarksons@clarksons.com.hk, SHIP BROKERS
CLYDE & CO,"CENTRAL PLAZA,18 HARBOUR ROAD,WAN CHAI,HONG KONG",852,2878-8600,2522-5907,http://www.clydeco.com,info.hongkong@clydeco.com, MARITIME LAW FIRMS
"CMS LOGISTICS GROUP HONGKONG CO., LTD.","TML TOWER,
NO. 3 HOI SHING ROAD,
TSUEN WAN, 
NEW TERRITORIES, 
HONG KONG.",852,2614-6286,2614-6246,http://www.cmsgroup.com.hk,rogerwong@cmsgroup.com.hk, FREIGHT FORWARDERS/LOGISTICS
COASTAL OIL (HK) LTD.,"SINNGA COMMERCIAL CENTRE,
144-151 CONNAUGHT ROAD WEST,
HONG KONG.",852,2851-8444,2851-7590,http://www.coastalpetrol.com,coastalhk@coastalpetrol.com, BUNKERS
COBA ENTERPRISE HONG KONG LTD.,"WINFULL COMMERCIAL BUILDING,
172-176 WING LOK STREET,
SHEUNG WAN,
HONG KONG.",852,2815-2593,2815-1292,http://www.coba-foods.hk,sales@coba-foods.hk, MARINE SUPPLIERS (EQUIPMENT)
COCKETT MARINE OIL (ASIA),"SUITE 1704,
HARCOURT HOUSE,
39 GLOUCESTER ROAD,
WAN CHAI,
HONG KONG.",852,2111-9939,2111-9169,http://www.cockettgroup.com,hongkong@cockettasia.com, BUNKERS
COMMONWEALTH OF DOMINICA INTERNATIONAL MARITIME REGISTRY HONG KONG REGIONAL OFFICE LIMITED,"FU FAI COMMERCIAL CENTRE,
27 HILLIER STREET,
SHEUNG WAN
HONG KONG.",852,6067-5608,null,http://dominica-registry.com/,hongkong@dominica-registry.com, SHIPPING REGISTRIES
COMPREHENSIVE INTERNATIONAL FREIGHT FORWARDERS LTD,"WHARF T & T SQUARE,
123 HOI BUN RD,
KWUN TONG,
KOWLOON,
HONG KONG.",852,2751-1600,2754-3873,http://www.ciff.com.hk,ciff@ciff.com.hk, FREIGHT FORWARDERS/LOGISTICS
CONNING SHIPPING LTD,"TIMES TOWER,
393 JAFFE ROAD,
CAUSEWAY BAY,
HONG KONG.",852,2739-9977,2723-0127,,conningshipping@gmail.com, LOCAL SHIPPING AGENTS
CONSILIUM HONG KONG CO. LTD.,"HANG SENG BANK NORTH POINT BRANCH BUILDING,
339 KING'S ROAD,
NORTH POINT,
HONG KONG.",852,"3521-1914
","2772-0730
",http://www.consilium.se,sunny.chung@consilium.cn, MARINE SUPPLIERS (EQUIPMENT)
CONTROL RISKS,"LYNDHURST TOWER,
1 LYNDHURST TERRACE,
CENTRAL,
HONG KONG.",852,"6963-0040
","2810-9268
",http://www.controlrisks.com,hongKong@controlrisks.com, MARITIME CONSULTANCY
COSCO-HIT TERMINALS (HONG KONG) LIMITED,"CHT TOWER,
TERMINAL 8 EAST,
CONTAINER PORT ROAD SOUTH,
KWAI CHUNG,
HONG KONG. ",852,2991-8888,2485-3320,,info@cosco.hit.com.hk, CONTAINER TERMINALS
CRAWFORD (HONG KONG) LTD.,"SUNSHINE PLAZA,
353 LOCKHART ROAD,
WAN CHAI,
HONG KONG.",852,"2526-5137
",2845-0598,http://www.crawfordandcompany.com,sumith.magamage@crawco.com.hk, MARITIME CONSULTANCY
CROWLEY ACCORD SHIP MANAGEMENT LIMITED,"CONNAUGHT ROAD, WESTSHEUNG WAN,HONG KONG.",852,2877-9009,2877-9222,http://www.accordship.net/,management@accordship.com.hk, SHIP MANAGEMENT
CRUMP & CO,"LIPPO CENTRE,
89 QUEENSWAY,
ADMIRALTY,
HONG KONG.",852,"2537-7000
",2804-6615,http://www.crump-co.com.hk,crumps@biznetvigator.com, MARITIME LAW FIRMS
CSX WORLD TERMINALS HONG KONG LTD,"KWAI CHUNG CONTAINER TEMINALS,
KWAI CHUNG,
NEW TERRITORIES,
HONG KONG. ",null,null,2614-4791,http://www.dpworld.com,"yvonne.chu@dpworld.com
michael.mok@dpworld.com", CONTAINER TERMINALS
CTX SPECIAL RISKS LIMITED,"TAI TUNG BUILDING,
8 FLEMING ROAD,
WAN CHAI,
HONG KONG. ",852,2527-9277,2527-2677,http://www.ctx-risks.com,thomas_cheung@ctx-risks.com, MARITIME INSURANCE 
"D.S. MARINE, LTD","LOCKHART CENTRE,
301-307 LOCKHART RD,
WAN CHAI,
HONG KONG.",852,2865-3378,2865-6806,http://www.dsmarine.com.hk,dsmarine@netvigator.com, LOCAL SHIPPING AGENTS
DCH LOGISTICS COMPANY LTD,"FUK HI STREET,
YUEN LONG INDUSTRIAL ESTATE,
YUEN LONG, 
NEW TERRITORIES,
HONG KONG.",852,3966-2228,3966-2200,http://www.dch.com.hk/english/hk_pre/hk_logistics/logistics/dch_logistics_hk/profile/index.php,achow@dchlogistics.com.hk, FREIGHT FORWARDERS/LOGISTICS
DELMAS HK LTD.,"MANULIFE FINANCIAL CENTRE,
223 WAI YIP STREET,
KWUN TONG,
KOWLOON,
HONG KONG.",852,2802-2086,2802-1966,http://www.delmas.com,hka.delmashk@delmas.com, SHIPPING COMPANIES
DELTA MARINE SERVICES LTD.,"FOOK YIP BUILDING,NO. 53-57, KWAI FUNG CRESCENT,KWAI CHUNG,NEW TERRITORIES,HONG KONG.",852,2153-9233,2153-9237,http://www.deltams.com.hk,general@deltams.com.hk, SURVEYORS
DLA PIPER HONG KONG,"THE LANDMARK,
15 QUEEN'S ROAD,
CENTRAL,
HONG KONG.",852,2103-0754,2810-1345,http://www.dlapiper.com,"nicholas.mallard@dlapiper.com
kevin.chan@dlapiper.com", MARITIME LAW FIRMS
